2016-03-13 10:47:51+0300 [-] Log opened.
2016-03-13 11:51:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:51:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:52:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:53:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:54:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:55:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:56:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:57:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:58:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:59:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:59:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:59:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:59:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:59:46+0300 [-] Received SIGINT, shutting down.
